,Unnamed: 0,year,species,port,county,weight_type,weight,value,number_harvesters,price_per_lb
550,550,2009,Lobster American,Vinalhaven,Knox,Live Pounds,4719606.35,13650575.01,219,2.892312197
551,551,2009,Lobster American,Wells,York,Live Pounds,35442.34,119742.664,8,3.378520267
552,552,2009,Lobster American,Westport Island,Lincoln,Live Pounds,85585.3,233359.445,23,2.726629982
553,553,2009,Lobster American,Winter Harbor,Hancock,Live Pounds,1169618.5,3361165.915,39,2.873728412
554,554,2009,Lobster American,Yarmouth,Cumberland,Live Pounds,321183.3,968220.575,42,3.014542085
555,555,2009,Lobster American,York,York,Live Pounds,526331.05,1764645.61,32,3.352729447
767,767,2010,Lobster American,Addison,Washington,Live Pounds,1208556.46,3610369.841,81,2.98734065
768,768,2010,Lobster American,Bailey Island,Cumberland,Live Pounds,1536581.92,5129486.472,75,3.338244714
769,769,2010,Lobster American,Bar Harbor,Hancock,Live Pounds,945626.26,3556241.639,31,3.760726398
770,770,2010,Lobster American,Bass Harbor,Hancock,Live Pounds,2011482.55,7134756.935,136,3.547014084
771,771,2010,Lobster American,Beals,Washington,Live Pounds,3418648.18,10712121.23,216,3.133437741
772,772,2010,Lobster American,Belfast,Waldo,Live Pounds,181319.86,606141.484,42,3.342940393
773,773,2010,Lobster American,Blue Hill,Hancock,Live Pounds,883767.55,2945233.94,53,3.332588914
774,774,2010,Lobster American,Boothbay,Lincoln,Live Pounds,5577.0,20762.8,5,3.722933477
775,775,2010,Lobster American,Boothbay Harbor,Lincoln,Live Pounds,1165040.9,3778447.57,132,3.243188776
776,776,2010,Lobster American,Bremen,Lincoln,Live Pounds,871969.29,2548066.34,62,2.92219734
777,777,2010,Lobster American,Brooklin,Hancock,Live Pounds,200040.92,618028.13,16,3.089508537
778,778,2010,Lobster American,Brooksville,Hancock,Live Pounds,20059.6,71439.098,6,3.561342101
779,779,2010,Lobster American,Cape Elizabeth,Cumberland,Live Pounds,108783.5,394407.94,24,3.62562282
780,780,2010,Lobster American,Cape Porpoise,York,Live Pounds,686195.5,2516629.375,46,3.667510753
781,781,2010,Lobster American,Cundys Harbor,Cumberland,Live Pounds,1301476.42,4141077.135,64,3.181830321
782,782,2010,Lobster American,Cushing,Knox,Live Pounds,1496721.75,5084616.524,72,3.397168862
783,783,2010,Lobster American,Cutler,Washington,Live Pounds,1738808.5,5933265.44,51,3.41225928
784,784,2010,Lobster American,Deer Isle,Hancock,Live Pounds,161783.2,560577.425,13,3.464991575
785,785,2010,Lobster American,Eastport,Washington,Live Pounds,837162.51,3149041.452,32,3.761565305
786,786,2010,Lobster American,Falmouth,Cumberland,Live Pounds,30215.6,118746.63,5,3.929977561
787,787,2010,Lobster American,Five Islands,Sagadahoc,Live Pounds,302906.3,1058327.858,43,3.493911675
788,788,2010,Lobster American,Freeport,Cumberland,Live Pounds,253753.2,895282.645,16,3.528162975
789,789,2010,Lobster American,Frenchboro,Hancock,Live Pounds,246290.3,830459.16,19,3.371871162
790,790,2010,Lobster American,Friendship,Knox,Live Pounds,3988157.8,14144978.4,175,3.546744916
791,791,2010,Lobster American,Georgetown,Sagadahoc,Live Pounds,292870.6,984366.95,25,3.361098553
792,792,2010,Lobster American,Gouldsboro,Hancock,Live Pounds,331789.2,971205.12,24,2.927175206
793,793,2010,Lobster American,Gouldsboro,Hancock,Live Pounds,32866.5,122607.2,2,3.730461108
794,794,2010,Lobster American,Hancock,Hancock,Live Pounds,182562.45,647024.903,26,3.544129162
795,795,2010,Lobster American,Harpswell,Cumberland,Live Pounds,2572267.2,8504880.503,199,3.30637521
796,796,2010,Lobster American,Harrington,Washington,Live Pounds,788245.15,2776411.9,33,3.522269563
797,797,2010,Lobster American,Islesboro,Waldo,Live Pounds,124991.4,384535.26,10,3.076493743
798,798,2010,Lobster American,Jonesport,Washington,Live Pounds,2759478.5,8909438.6,189,3.228667518
799,799,2010,Lobster American,Kennebunkport,York,Live Pounds,197060.69,700322.915,23,3.553843818
800,800,2010,Lobster American,Kittery,York,Live Pounds,1166674.84,4246177.773,76,3.639555451
801,801,2010,Lobster American,Lamoine,Hancock,Live Pounds,180629.15,665459.315,19,3.684119175
802,802,2010,Lobster American,Lubec,Washington,Live Pounds,197471.36,733550.991,30,3.714720914
803,803,2010,Lobster American,Machiasport,Washington,Live Pounds,807025.0,2597432.785,50,3.21852828
804,804,2010,Lobster American,Matinicus,Knox,Live Pounds,836534.43,3074495.441,46,3.67527663
805,805,2010,Lobster American,Milbridge,Washington,Live Pounds,2296008.8,7528936.865,88,3.279141119
806,806,2010,Lobster American,Monhegan,Lincoln,Live Pounds,77949.05,326812.73,10,4.192645452
807,807,2010,Lobster American,New Harbor,Lincoln,Live Pounds,985786.77,3103343.818,47,3.148088321
808,808,2010,Lobster American,Northeast Harbor,Hancock,Live Pounds,400279.55,1518717.832,19,3.794142948
809,809,2010,Lobster American,Ogunquit,York,Live Pounds,208862.1,770527.605,11,3.689169098
810,810,2010,Lobster American,Other Cumberland,Cumberland,Live Pounds,72533.4,270105.86,4,3.723882515
811,811,2010,Lobster American,Other Hancock,Hancock,Live Pounds,169169.15,602857.484,11,3.563637247
812,812,2010,Lobster American,Other Hancock,Hancock,Live Pounds,20699.9,73232.045,5,3.537797042
813,813,2010,Lobster American,Other Maine,Not-Specified,Live Pounds,8779810.07,29538977.23,482,3.364420983
814,814,2010,Lobster American,Other Waldo,Waldo,Live Pounds,1639.8,6754.405,4,4.119041956
815,815,2010,Lobster American,Owls Head,Knox,Live Pounds,1721303.69,6079829.415,52,3.53210735
816,816,2010,Lobster American,Pemaquid,Lincoln,Live Pounds,255134.1,833876.885,28,3.268386645
817,817,2010,Lobster American,Penobscot,Hancock,Live Pounds,6992.2,23719.166,5,3.392232202
818,818,2010,Lobster American,Phippsburg,Sagadahoc,Live Pounds,358826.52,1304481.34,30,3.635409501
819,819,2010,Lobster American,Pine Point,Cumberland,Live Pounds,8128.03,31726.313,4,3.903321346
820,820,2010,Lobster American,Port Clyde,Knox,Live Pounds,2481484.61,7838310.274,155,3.158718068
821,821,2010,Lobster American,Portland,Cumberland,Live Pounds,2796452.37,9968374.521,195,3.564650208
822,822,2010,Lobster American,Prospect Harbor,Hancock,Live Pounds,626296.0,2193107.9,33,3.501711491
823,823,2010,Lobster American,Rockland,Knox,Live Pounds,2118440.24,7551932.041,191,3.564854886
824,824,2010,Lobster American,Rockport,Knox,Live Pounds,292060.46,994936.036,22,3.406609837
825,825,2010,Lobster American,Round Pond,Lincoln,Live Pounds,548434.86,1696466.515,46,3.093287168
826,826,2010,Lobster American,Saco,York,Live Pounds,72039.32,247505.24,15,3.435696506
827,827,2010,Lobster American,Scarborough,Cumberland,Live Pounds,417373.43,1438080.261,41,3.445548177
828,828,2010,Lobster American,Sorrento,Hancock,Live Pounds,357788.52,1086208.47,27,3.035895255
829,829,2010,Lobster American,South Bristol,Lincoln,Live Pounds,1481919.63,4674166.85,95,3.154129789
830,830,2010,Lobster American,South Thomaston,Knox,Live Pounds,450858.0,1551575.32,19,3.441383584
831,831,2010,Lobster American,Southport,Lincoln,Live Pounds,375965.5,1221130.9,33,3.247986584
832,832,2010,Lobster American,Southwest Harbor,Hancock,Live Pounds,1806522.33,6540708.7,125,3.620607723
833,833,2010,Lobster American,Spruce Head,Knox,Live Pounds,3555223.16,10169359.59,173,2.860399793
834,834,2010,Lobster American,Steuben,Washington,Live Pounds,1854797.5,5908002.951,87,3.185254968
835,835,2010,Lobster American,Stonington,Hancock,Live Pounds,14569084.43,46512113.22,451,3.192521359
836,836,2010,Lobster American,Sullivan,Hancock,Live Pounds,147826.45,536298.908,13,3.627895468
837,837,2010,Lobster American,Swans Island,Hancock,Live Pounds,2302719.9,7780293.014,96,3.378740512
838,838,2010,Lobster American,Tenants Harbor,Knox,Live Pounds,2264445.75,6866002.46,89,3.032089623
839,839,2010,Lobster American,Trenton,Hancock,Live Pounds,17261.2,64079.32,15,3.712332862
840,840,2010,Lobster American,Vinalhaven,Knox,Live Pounds,5842761.15,18982905.85,204,3.248961469
841,841,2010,Lobster American,Waldoboro,Lincoln,Live Pounds,43997.0,170401.54,5,3.873026343
842,842,2010,Lobster American,Wells,York,Live Pounds,35547.08,126076.187,10,3.546738213
843,843,2010,Lobster American,West Bath,Sagadahoc,Live Pounds,4236.5,13298.92,4,3.139128998
844,844,2010,Lobster American,Winter Harbor,Hancock,Live Pounds,1476912.0,4902237.26,40,3.319248039
845,845,2010,Lobster American,Wiscasset,Lincoln,Live Pounds,171648.5,533345.825,23,3.107197703
846,846,2010,Lobster American,Yarmouth,Cumberland,Live Pounds,110191.2,412684.075,35,3.745163634
847,847,2010,Lobster American,York,York,Live Pounds,551969.91,2021978.802,32,3.663204761
1090,1090,2011,Lobster American,Addison,Washington,Live Pounds,1218808.15,3313274.809,88,2.718454754
1091,1091,2011,Lobster American,Bailey Island,Cumberland,Live Pounds,1622881.33,5351862.056,80,3.297753173
1092,1092,2011,Lobster American,Bar Harbor,Hancock,Live Pounds,1183074.58,4012513.873,53,3.391598417
1093,1093,2011,Lobster American,Bass Harbor,Hancock,Live Pounds,2298947.0,7732566.05,114,3.363525149
1094,1094,2011,Lobster American,Beals,Washington,Live Pounds,3744067.94,11148829.22,221,2.977731547
1095,1095,2011,Lobster American,Belfast,Waldo,Live Pounds,223052.79,679324.067,43,3.045575296
1096,1096,2011,Lobster American,Biddeford Pool,York,Live Pounds,179734.61,641118.355,22,3.567027825
1097,1097,2011,Lobster American,Blue Hill,Hancock,Live Pounds,1262613.01,4123448.201,56,3.265805253
1098,1098,2011,Lobster American,Boothbay,Lincoln,Live Pounds,10248.58,42144.0,5,4.112179443
1099,1099,2011,Lobster American,Boothbay Harbor,Lincoln,Live Pounds,1350867.81,4364008.926,126,3.230522553
1100,1100,2011,Lobster American,Bremen,Lincoln,Live Pounds,867123.13,2575419.88,59,2.970074019
