,Unnamed: 0.1,year,weight,value,number_harvesters,price_per_lb,clusters,cluster
390,1752,2013,905753.2,2400088.43,57,2.649826056,0,pink
391,1753,2013,222376.4,522510.174,15,2.349665585,0,pink
392,1754,2013,8985.44,30771.174,7,3.42455951,0,pink
393,1755,2013,769281.05,1778378.65,43,2.311741138,0,pink
394,1756,2013,10033.0,32063.1,5,3.195763979,0,pink
395,1757,2013,98612.35,385663.077,19,3.910900379,0,pink
396,1758,2013,777586.15,2793902.24,45,3.593045272,0,pink
397,1759,2013,55673.25,165810.835,6,2.978285532,0,pink
398,1760,2013,2077903.65,6140121.9,109,2.95495987,0,pink
399,1761,2013,1909881.08,6421793.927,84,3.362405123,2,dark purple
400,1762,2013,3125481.0,8392108.49,53,2.685061432,2,dark purple
401,1763,2013,1173706.6,3660887.538,39,3.119082348,0,pink
402,1764,2013,1024534.62,3427243.79,37,3.345171284,0,pink
403,1765,2013,138613.54,543176.683,7,3.91864087,0,pink
404,1766,2013,482674.75,1586739.22,62,3.287388081,0,pink
405,1767,2013,199654.44,631895.624,17,3.164946515,0,pink
406,1768,2013,232983.6,707949.95,10,3.03862568,0,pink
407,1769,2013,4515671.83,14415489.59,175,3.19232445,2,dark purple
408,1770,2013,489820.49,1513839.81,24,3.090601232,0,pink
409,1771,2013,569874.5,1148663.526,24,2.015642963,0,pink
410,1772,2013,170117.3,536224.855,14,3.152088912,0,pink
411,1773,2013,71536.6,207440.27,11,2.899778156,0,pink
412,1774,2013,2244500.72,7133587.391,109,3.178251327,2,dark purple
413,1775,2013,1242374.2,3843292.3,35,3.093506208,0,pink
414,1776,2013,179311.4,525268.15,5,2.929362829,0,pink
415,1777,2013,2992562.8,6970790.348,167,2.32937145,2,dark purple
416,1778,2013,319606.06,1095869.379,21,3.428812892,0,pink
417,1779,2013,1424892.97,5073361.828,69,3.560521341,0,pink
418,1780,2013,135414.66,400981.855,9,2.961140655,0,pink
419,1781,2013,546540.13,1823902.788,24,3.337179994,0,pink
420,1782,2013,2727967.95,7261467.688,92,2.661859604,2,dark purple
421,1783,2013,17573.46,79587.68,5,4.528856583,0,pink
422,1784,2013,1366762.62,3983729.491,58,2.914719376,0,pink
423,1785,2013,895098.55,3062094.498,36,3.420957947,0,pink
424,1786,2013,351283.26,1236387.563,15,3.519631317,0,pink
425,1787,2013,390416.55,1138323.82,12,2.915664871,0,pink
426,1788,2013,191419.6,560792.16,11,2.929648584,0,pink
427,1789,2013,13402071.36,37850687.07,515,2.824241571,1,purple
428,1790,2013,35140.4,103005.66,3,2.931260316,0,pink
429,1791,2013,2846.0,14294.75,5,5.02275123,0,pink
430,1792,2013,653.0,2847.2,2,4.360183767,0,pink
431,1793,2013,63500.5,227753.495,7,3.586640971,0,pink
432,1794,2013,2518931.8,7996709.144,50,3.174642975,2,dark purple
433,1795,2013,212237.75,664677.053,25,3.131756971,0,pink
